Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity,mean,std
0,parameters/classifier.dense.weight,2.1528642076793716e-09,1.5901065778350206e-18,1.0128570342976158e-09,5.400652323414317e-09,1.831291045712778e-06,0.020884424568294,-2.4232676933032606,2.097870986966696,0.0,1.0970688161292473e-09,1.260994281444218e-09
1,parameters/classifier.out_proj.weight,1.1026676299471763e-07,8.58658017980044e-18,9.965769213893286e-08,1.1052904799045137e-07,-4.371185445960871e-05,0.0187137944230178,-1.4204091464204665,2.6521002499455957,0.0,1.0227987901640243e-07,2.930286706075096e-09
2,parameters/encoder.roberta.embeddings.word_embeddings.weight,4.727297923429371e-07,2.0769508201452138e-14,9.154225070148632e-08,5.429952549264795e-07,-0.0113615072623671,0.1283658394965572,1.4623685480574495,3.769610356159765,0.0,2.966722634403255e-07,1.441163009567347e-07
3,parameters/encoder.roberta.embeddings.position_embeddings.weight,3.436156608673181e-08,3.8196760978243853e-16,9.833112619803793e-09,7.508774926647632e-08,0.0003445132038981,0.0755137771931206,2.779962221749336,10.672908038991842,0.09026895418641286,4.0895502688991414e-08,1.954399165427673e-08
4,parameters/encoder.roberta.embeddings.token_type_embeddings.weight,3.3573997561600225e-06,5.536602441515094e-12,9.045030262138247e-07,8.681431061122373e-06,-0.0002076929983255,0.0251005607441857,4.36847121976512,20.93012425102768,0.024262813290820473,7.024194031547098e-06,2.3529986063563857e-06
5,parameters/encoder.roberta.embeddings.LayerNorm.weight,1.1606321377792713e-08,1.1013313881948703e-18,1.0008934929856124e-08,1.3470396367058822e-08,0.3357254763638286,0.0639204642931742,0.3865124287243893,-0.08541673781803387,0.0,1.3130349291167976e-08,1.0494433706469685e-09
6,parameters/encoder.roberta.encoder.layer.0.attention.self.query.weight,3.6205918752196284e-06,2.6668439936012457e-12,9.369060731086341e-07,6.113689009532139e-06,8.546326140564047e-05,0.1016103293044025,1.16576439818759,1.9136398727864523,0.0,1.2819492193610214e-06,1.6330474560162802e-06
7,parameters/encoder.roberta.encoder.layer.0.attention.self.key.weight,1.3270712071367434e-07,1.1843977687403014e-16,1.0460404519427788e-07,1.4383643099617395e-07,0.000112793106243,0.1006120468130983,1.356712617814426,2.525042514212302,0.0,1.0793063828070742e-07,1.0883004037214644e-08
8,parameters/encoder.roberta.encoder.layer.0.attention.self.value.weight,2.8371768953928263e-09,3.917065213230841e-18,9.558328535010774e-10,7.300245330824485e-09,3.158816936226893e-05,0.0397860407903909,1.4587042456729635,3.081017920377872,0.0,3.197005497233641e-09,1.979157702971353e-09
9,parameters/encoder.roberta.encoder.layer.0.attention.output.dense.weight,2.1617718599305253e-07,2.2426599807333634e-15,1.0624608357137985e-07,2.7273199850354253e-07,3.304292350580742e-06,0.0403816936415788,3.3755168745661996,12.797244062471135,0.047489627909423016,1.226275733392594e-07,4.7356731102699266e-08
10,parameters/encoder.roberta.encoder.layer.0.attention.output.LayerNorm.weight,7.938727320603178e-09,6.19247769958166e-18,1.0309361913074472e-09,1.0011153633683903e-08,0.6156525901945613,0.0974861908782125,1.5463301699084904,2.8322404182812413,0.0,3.684094535269207e-09,2.4884689468791165e-09
