layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity,mean,std
fc2.bias,4.5091715165379615e-07,9.840104345560579e-15,1.0779171888868144e-07,4.97567566708744e-07,-3.1558510518864194e-05,0.0200467691820429,0.8051205494240274,-0.15664546666798243,0.0,4.951698172766645e-07,9.919730009209212e-08
fc1.bias,4.1602912820635235e-08,1.878040703610407e-16,1.0630378559135441e-08,6.398828209841698e-08,0.7224649448495858,0.1133428719451089,1.1186587815671618,0.7887059390413511,0.0,2.916035330913258e-08,1.3704162519506279e-08
convs_code_file.2.bias,8.118027220315032e-05,4.4582398539812987e-10,1.0102366484360441e-05,8.814390617478706e-05,0.8051789876384037,0.1374376907114736,-0.08587394355790384,-0.8590544424596713,0.0,3.2907527115218866e-05,2.1114544404228337e-05
convs_code_file.1.bias,5.058692640671136e-08,5.045247583878063e-16,9.504645919221902e-09,8.134285622330006e-08,-0.0001044009550747,0.0706972257171937,1.6127150089330875,3.7809362828849857,0.06434667190669308,3.7078518241823045e-08,2.2461628578262226e-08
convs_code_file.0.bias,4.646307921955241e-09,3.9073351712098964e-18,9.298257695871692e-10,7.6251652073426e-09,0.563354952842928,0.1337718840011416,0.3114091934625119,-0.433325659107163,0.0,2.295913600825493e-09,1.976698047555543e-09
convs_code_line.2.bias,4.6676464283714896e-07,5.779702571307572e-14,9.900179281507098e-08,9.69346646519221e-07,1.953889443484899e-05,0.039087298509953,2.4386164611405143,9.266040675268243,0.0,1.953668914156999e-07,2.4041011982251444e-07
convs_code_line.1.bias,1.2760201723556506e-06,5.281613923941762e-13,9.79795409116902e-07,3.5304017063257512e-06,6.742295416513179e-06,0.0432375307227778,2.1723470765130477,5.8926747687184164,0.0,3.275553243730523e-06,7.267471309844824e-07
convs_code_line.0.bias,2.876205709714389e-07,1.0240247980185405e-14,1.0687622858770851e-07,4.869537145424458e-07,0.0005278906998377,0.0197473282303864,0.6210093952643571,0.0008255961873724071,0.0,1.2187390864582978e-07,1.0119411040265834e-07
convs_msg.2.bias,2.0558449377841385e-08,1.8928920816664827e-16,9.442936425671234e-09,5.539496848940778e-08,-0.0006588076272084,0.0546666985913124,4.865877353193873,29.703302066269405,0.0,1.3878891495347951e-08,1.3758241463451945e-08
convs_msg.1.bias,2.047366091624502e-07,1.6274875416221428e-14,1.0334395666243279e-07,5.801618919887455e-07,6.062533815187235e-07,0.0751172360038982,1.1932536995077818,2.6882286483636815,0.01458061011295042,2.489215631580476e-07,1.2757301993847067e-07
convs_msg.0.bias,1.220763044408765e-08,9.441504799191284e-19,1.0527485392261393e-08,1.416828083867073e-08,0.3357254763638286,0.0639204642931742,0.44586219814239103,0.14671924133358422,0.0,1.3810616346973056e-08,9.71674060536314e-10
