Unnamed: 0,layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis
0,gradients/fc2.bias,-0.24415263326447967,-0.24524372086372767,4.622895303061413e-06,-0.24951932381539588,-0.24187952571021867,0.002150091928979058,0.08909963852861233,,
1,gradients/fc2.weight,-0.21286603012782257,-0.20555091412662843,0.002300787683241018,-0.21821881279631566,-0.057005514905217054,0.0479665266956147,0.0,0.7642351720232392,1.9057851511005457
2,gradients/fc1.bias,-0.010328494125054629,-0.018194072623746872,0.006199222390713472,-0.05851980510186053,0.1822558739818061,0.07873514076137518,0.07372120474810742,-0.05264290534912994,2.418577309484611
3,gradients/fc1.weight,0.29222114604198696,0.5437361311425252,0.016032515074528134,0.26550770353748115,0.779511603915437,0.12661956829229926,0.0,0.4447665307496713,6.237455980485257
4,gradients/convs_code_file.2.bias,0.32796618934257205,0.14535535470218167,0.004537168876405308,0.1254429625453057,0.37399105388490367,0.06735851005185238,0.0,-0.023986488696098863,5.241718559086682
5,gradients/convs_code_file.2.weight,0.3442234139843851,0.4159465981244924,0.011969360761944903,0.16021906384508494,0.5097696337682712,0.10940457377068355,0.0,1.8723071310085613,10.765865187018237
6,gradients/convs_code_file.1.bias,-0.34435981772024127,-0.24312842901814052,0.0021046692453137133,-0.37368817186192316,-0.239899472996738,0.04587667430529192,0.07427275620770926,1.268886019995181,2.6234876136395395
7,gradients/convs_code_file.1.weight,0.3013529167938208,0.35097971797861827,0.007917700913151367,0.13313261206986296,0.43603384575714443,0.08898146387395224,0.015714428372901733,2.0267320032158236,9.97961985310284
8,gradients/convs_code_file.0.bias,0.4345986920670768,0.3498603446611635,0.0016720760032741427,0.33979838137311796,0.4791638248823744,0.04089102595037449,0.09963068186263266,-0.2464516981340379,1.5580646142605044
9,gradients/convs_code_file.0.weight,0.11212270149305716,0.06009503442708534,0.002931570733330533,-0.009692182712687628,0.15432264781408644,0.054143981506079256,0.0866635993060483,-0.7352841800626513,5.149850205790197
10,gradients/convs_code_line.2.bias,0.9050666023513331,0.8698846187719886,0.004442809391611665,0.759707825645156,1.010900073583911,0.06665440264237453,0.045935238775977744,0.20232425567364382,-0.08823105887454574
11,gradients/convs_code_line.2.weight,0.18276965575655424,0.27731988680766867,0.006219622861123578,0.09981478062523884,0.39947715542959866,0.07886458559533358,0.05613916570792317,0.47077431437944856,7.978768979480088
12,gradients/convs_code_line.1.bias,-0.051251907608581115,0.108485442572602,0.003694674272671622,-0.08722283022629147,0.18617958301003829,0.06078383232959017,0.060229027588806675,-0.222479044238127,-0.031290686768600556
13,gradients/convs_code_line.1.weight,-0.07645923176763762,-0.06159737091186436,0.00011447227890429514,-0.04139295559250348,-0.08243566156579889,0.01069917187937082,0.06419705420356552,0.24698190467150533,5.163346383661774
14,gradients/convs_code_line.0.bias,-0.029728489354274877,-0.08097115489496512,0.0013413158682602333,-0.10048413270840967,0.01884387429741171,0.03662397941595557,0.0006883431234696604,-0.04788979839376421,-0.40807888334735365
15,gradients/convs_code_line.0.weight,-0.2174813229282136,-0.203655400843296,4.084889553120025e-05,-0.20083957366835548,-0.222355187730687,0.006391314069203553,0.0,0.5569797571164615,5.071630867290038
16,gradients/embed_code.weight,-0.4543672481429257,-0.46116428483035554,8.465321953027382e-05,-0.473697048834989,-0.4365081886665191,0.009200718424684732,0.03262222694901693,29.982144202095995,40474.085736492714
17,gradients/convs_msg.2.bias,-0.2188233411171563,-0.21884151594117077,7.178985763724575e-05,-0.21356452737812046,-0.24504652973979182,0.008472889568337538,0.0,0.2124280714542967,1.182182567375876
18,gradients/convs_msg.2.weight,0.13129987256610817,0.06285059628480705,0.006927094645606325,-0.11901146123798027,0.19167565170463646,0.0832291694396047,0.002423168911865363,0.5782574519553366,1.7035105536269792
19,gradients/convs_msg.1.bias,-0.3894621154153974,-0.38647835268637065,3.7905124356896e-06,-0.39337119896546563,-0.3860118092715962,0.0019469238392112852,0.026505212144492682,-0.14649452036176833,0.028750477756766646
20,gradients/convs_msg.1.weight,0.04361538441399574,0.009531457360952234,0.0005718813480403508,0.006488549740173653,0.07968312163839299,0.023914040813723215,0.05452267304967955,-0.5309638067103837,3.1959825460250233
21,gradients/convs_msg.0.bias,0.9531431224701594,1.0114883416178841,0.005505965314322892,0.790162962251252,1.0451701222155778,0.07420219211265285,0.08017587837618317,0.07221226270875303,-0.5290902800217564
22,gradients/convs_msg.0.weight,-0.06586402865490398,-0.053465487275857954,0.00017021816188792673,-0.0672010327996818,-0.02259495957131339,0.013046768254555348,0.0,-0.23522270740384182,2.183218368288348
23,gradients/embed_msg.weight,0.03059757054623865,0.025721909634447305,3.0019899099709528e-05,0.016267867045911755,0.0375727412234423,0.005479041804887806,0.0,6.6991125501928925,1677.3471144560503
