layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis,Mean,StdDev
fc2.bias,0.0378723958795808,0.2572818240690167,4.8372776761864135e-06,0.22906864580043879,0.2989678093650548,0.0068949389242192,0.0,0.6535968618273975,-412.810105589313,0.2571934689139574,0.002199381203017351
fc1.bias,0.4041797298542702,0.4035761136898312,6.811861340586374e-06,0.35962586483372616,0.4528695715616154,0.0989518972456589,0.02862746425098557,0.06329134110125983,-463.63425621913603,0.40416236306907316,0.0026099542794052687
convs_code_file.2.bias,0.5012725556718685,0.32294307782971104,2.570456889430455e-05,0.2877594193306319,0.3589966890299513,0.0198565520812984,0.0,0.6087502971084157,-458.6213111755157,0.3230945085816625,0.005069967346473174
convs_code_file.1.bias,0.7504679668033454,0.4471418540649218,3.4132969178670726e-05,0.39957683786503634,0.5316690640353451,0.0980229671362744,0.0,-16.67301071591939,-70.64989917030398,0.44791382150111664,0.00584234278168186
convs_code_file.0.bias,0.214765230563731,0.323911477415092,4.329631524088939e-05,0.2821823174448489,0.38152965929027033,0.1067139804466189,0.0,1.2214635630878248,-459.9734656788016,0.3231505385116967,0.006579993559334894
convs_code_line.2.bias,0.037765972353141,0.01713236401172301,8.59128950007367e-05,0.013651891057819518,0.020057118902204137,0.0153167726992365,0.0,0.018760989522853003,-464.33763686232805,0.016892227303302178,0.00926892091889538
convs_code_line.1.bias,0.0163964374986086,0.3611904717393158,1.5151628886210751e-05,0.30769729432643067,0.41998156194313924,0.0105102822234692,0.004366474902486495,0.11283470880464806,-464.81313900145875,0.3621516367986001,0.003892509330266325
convs_code_line.0.bias,0.0390049240477585,0.2698098421731777,3.7786933514857416e-05,0.22770060282867058,0.30755047849316697,0.0076420205794523,0.047021896886681014,-0.12497545211969362,-464.4351303933468,0.2697630648501118,0.0061471077357450506
convs_msg.2.bias,0.0464563829802717,0.2418467198763003,6.736663066501307e-05,0.19517340722299564,0.28743425537839623,0.0131193286777906,0.045094108920357034,0.6288019284188364,-463.5638279315558,0.24225957107402724,0.00820771775008212
convs_msg.1.bias,0.7319309612606568,0.3712599900522727,9.537651886080144e-05,0.31235049140759313,0.4214088944564989,0.1715182425610702,0.0,-1.0281828472486971,-451.83338641035914,0.3713223949376806,0.009766090254590153
convs_msg.0.bias,0.0203104796291033,0.13770077067692194,7.296576308366326e-05,0.12368477909687214,0.16361976313496188,0.007351787661552,0.0,2.783193274873553,1836.6128887392738,0.13789529718278629,0.008541999946362849
