layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis,Mean,StdDev
fc2.bias,0.0378723958795808,0.2384085547259228,3.821250721348481e-06,0.21226499375119912,0.2770366060572463,0.0068949389242192,0.08468706469765304,0.8830057693899741,-412.815482174224,0.23832668098728427,0.0019548019647391895
fc1.bias,0.4041797298542702,0.4091761417202883,7.67320069541189e-06,0.36461603857105007,0.4591535963313153,0.0989518972456589,0.0,0.15203842924655592,-463.45457289208355,0.4097705259044536,0.0027700542766182987
convs_code_file.2.bias,0.5012725556718685,0.3459935757003829,2.8142617800477032e-05,0.3082986361087791,0.3846205620408681,0.0198565520812984,0.06608907850030336,0.5712631557412711,-458.67765974864733,0.34615581502655396,0.005304961621018261
convs_code_file.1.bias,0.7504679668033454,0.4342346593519905,3.575967361469421e-05,0.3880426546920324,0.5163219072662769,0.0980229671362744,0.0,-16.470821435613882,-70.81456105063941,0.43498434317970536,0.005979939265134186
convs_code_file.0.bias,0.214765230563731,0.3167647651596298,4.4961775033581934e-05,0.2759563082819397,0.37311167202525636,0.1067139804466189,0.07761699328829036,0.9259686090060122,-459.65801703242334,0.31602061544638593,0.0067053542064219995
convs_code_line.2.bias,0.037765972353141,0.0175597751592426,8.300679423274909e-05,0.013992472802337813,0.020557495627801493,0.0153167726992365,0.0,0.14423452645338286,-464.4905313010028,0.01731364761931495,0.009110806453478679
convs_code_line.1.bias,0.0163964374986086,0.3256577568322984,1.4375157157598215e-05,0.2774270599420291,0.3786651755089479,0.0105102822234692,0.0,0.3078082561156452,-464.7647284700067,0.3265243656762272,0.0037914584472993865
convs_code_line.0.bias,0.0390049240477585,0.2840681569163873,3.47624217529959e-05,0.23973362147691502,0.3238032270454813,0.0076420205794523,0.01429617875412621,-0.13408822567922385,-464.2542618787726,0.284018907608646,0.005895966566475356
convs_msg.2.bias,0.0464563829802717,0.24904999812304077,7.766259249454137e-05,0.20098654522755782,0.2959953345619148,0.0131193286777906,0.057447396906477446,0.6418054525425234,-462.9987869373901,0.2494751458780799,0.0088126382255566
convs_msg.1.bias,0.7319309612606568,0.31607356166939976,8.397463700732743e-05,0.2659207427508814,0.35876801637385164,0.1715182425610702,0.07757272887293253,-1.12122009025166,-451.8633348185619,0.3161266902987295,0.009163767620762042
convs_msg.0.bias,0.0203104796291033,0.14572696740073904,7.656802850818449e-05,0.13089402247215073,0.1731567061772542,0.007351787661552,0.0,2.565862641815668,1836.8793977446992,0.14593283231811982,0.008750315909050604
