Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity,mean,std
0,parameters/classifier.dense.weight,2.132871667770482e-09,1.3406174316662406e-18,1.0034511532355575e-09,5.350499249790466e-09,1.831291045712778e-06,0.020884424568294,-2.4936470847368137,2.344882940185463,0.0,1.0868809036677806e-09,1.1578503494261424e-09
1,parameters/classifier.out_proj.weight,1.0128917743317755e-07,1.103717060503666e-17,9.154386496432223e-08,1.0153010797969416e-07,-4.371185445960871e-05,0.0187137944230178,-1.5061587480755048,2.2646947376537643,0.0,9.39525613355732e-08,3.322223743975811e-09
2,parameters/encoder.roberta.embeddings.word_embeddings.weight,5.540137851498032e-07,2.1726988482031032e-14,1.0728257375298126e-07,6.363611123581766e-07,-0.0113615072623671,0.1283658394965572,1.7244809225499256,3.6947793335349046,0.0,3.4768386989728927e-07,1.4740077503877324e-07
3,parameters/encoder.roberta.embeddings.position_embeddings.weight,3.460299661326768e-08,3.4142671022924397e-16,9.902201832771954e-09,7.561532926082353e-08,0.0003445132038981,0.0755137771931206,2.895485867357489,10.58662018344745,0.0,4.1182841826044455e-08,1.847773552763552e-08
4,parameters/encoder.roberta.embeddings.token_type_embeddings.weight,3.8678116726711004e-06,5.915880899139396e-12,1.042010965878387e-06,1.0001233940668145e-05,-0.0002076929983255,0.0251005607441857,4.235581275361753,21.10532767212584,0.07564976286271717,8.092053862956684e-06,2.432258394813223e-06
5,parameters/encoder.roberta.embeddings.LayerNorm.weight,1.250565244001047e-08,1.0037377985109332e-18,1.0784490404251215e-08,1.4514167729142639e-08,0.3357254763638286,0.0639204642931742,0.3856307588217653,0.22665366710598497,0.09937676300934693,1.4147771658767623e-08,1.0018671561194794e-09
6,parameters/encoder.roberta.encoder.layer.0.attention.self.query.weight,3.484749924514286e-06,2.4702144082193334e-12,9.017540446599598e-07,5.884307883549725e-06,8.546326140564047e-05,0.1016103293044025,1.181715268606937,1.529760514757996,0.011707992305459781,1.233851425225462e-06,1.5716915754114524e-06
7,parameters/encoder.roberta.encoder.layer.0.attention.self.key.weight,1.202632094587774e-07,1.1038576847864296e-16,9.479535182273454e-08,1.3034892728942629e-07,0.000112793106243,0.1006120468130983,1.268404132319813,2.4262108281329153,0.0,9.781001116419196e-08,1.050646317647585e-08
8,parameters/encoder.roberta.encoder.layer.0.attention.self.value.weight,3.169732898780994e-09,4.2113410542670576e-18,1.067869559489907e-09,8.155934101910429e-09,3.158816936226893e-05,0.0397860407903909,1.6772493872946441,3.4104043254069203,0.052795235772584874,3.571738342653495e-09,2.0521552217771093e-09
9,parameters/encoder.roberta.encoder.layer.0.attention.output.dense.weight,2.167501778438249e-07,1.9004952131304865e-15,1.0652769580434155e-07,2.7345489260483045e-07,3.304292350580742e-06,0.0403816936415788,3.2506384908233708,12.990345647204158,0.09199796026011171,1.229526057883618e-07,4.359466954950441e-08
10,parameters/encoder.roberta.encoder.layer.0.attention.output.LayerNorm.weight,7.99055900860888e-09,6.644580326676531e-18,1.0376671395896678e-09,1.0076516124516855e-08,0.6156525901945613,0.0974861908782125,1.688739314277376,2.890817789583171,0.0,3.7081478665934863e-09,2.5777083478695823e-09
11,parameters/encoder.roberta.encoder.layer.0.intermediate.dense.weight,4.221630278269714e-08,2.2038578908901695e-16,9.249674574349666e-09,6.044770289462952e-08,-0.0113346586189311,0.0607580357729595,2.7372398350266947,9.57728082717052,0.0,4.890939681328859e-08,1.4845396225396513e-08
12,parameters/encoder.roberta.encoder.layer.0.output.dense.weight,2.4111506206980044e-05,5.7092308960666303e-11,9.323148755366566e-06,3.3893359418479085e-05,-0.000112760096662,0.0509716953262455,4.332814237281974,23.565493842702026,0.0,3.3401226191313286e-05,7.555945272476918e-06
13,parameters/encoder.roberta.encoder.layer.0.output.LayerNorm.weight,1.956136569898028e-06,1.0455260614947134e-13,9.45015380058086e-07,2.0344874339827943e-06,0.5109690259462994,0.1123735305669006,0.20394961585254356,0.02300862452662561,0.0,1.3135483745899008e-06,3.2334595428035174e-07
14,parameters/encoder.roberta.encoder.layer.1.attention.self.query.weight,2.5188953294026863e-07,2.6880370639254947e-14,1.0821062433032723e-07,7.051497984168517e-07,0.0001951886705329,0.0759863889472458,1.429463950018302,2.3750508487048,0.09720967750058306,6.711695360146102e-07,1.6395234258544446e-07
15,parameters/encoder.roberta.encoder.layer.1.attention.self.key.weight,3.2298132743939924e-06,5.817259006200229e-13,1.00415661061868e-06,3.588013342536059e-06,-3.776269572425157e-05,0.0745593718141202,1.852066585330248,4.719411360259248,0.02352354495761935,3.1124466017601206e-06,7.627095781619784e-07
16,parameters/encoder.roberta.encoder.layer.1.attention.self.value.weight,4.3175260975468584e-08,1.3386481278018137e-16,1.0741481211212739e-08,5.5263368424136556e-08,0.0001040482220213,0.0421736568456787,1.7763035079719947,3.5287798462117763,0.0,4.8228845816429126e-08,1.1569996230776457e-08
17,parameters/encoder.roberta.encoder.layer.1.attention.output.dense.weight,1.431720130768037e-08,5.605510780382601e-16,1.0355222386370005e-08,1.0212348955551779e-07,-9.920277029305042e-06,0.039764444603185,2.949861100050227,12.242955721182136,0.09604633575220865,9.637770091384848e-08,2.367595991798981e-08
18,parameters/encoder.roberta.encoder.layer.1.attention.output.LayerNorm.weight,2.6022008176461313e-06,3.52680106282209e-13,9.949164336389087e-07,2.9067501376395676e-06,0.6438848846203952,0.1354366076190484,0.5567430047348718,-0.5814820904796902,0.0,1.962022661283712e-06,5.938687618339668e-07
19,parameters/encoder.roberta.encoder.layer.1.intermediate.dense.weight,2.9878781866063013e-07,5.960448172369099e-15,1.0502980374212837e-07,3.862929027542381e-07,-0.0143675512643725,0.0644239113303974,2.8557240731465274,8.832700510887781,0.024489859167070117,2.639496404636534e-07,7.720393883973213e-08
20,parameters/encoder.roberta.encoder.layer.1.output.dense.weight,2.007860284352654e-06,1.3194680153316863e-12,9.916788115775938e-07,5.11112972094395e-06,5.649138364106832e-05,0.0527436002953514,4.60273766437197,24.403341477891345,0.0,1.0301199613601743e-06,1.1486809893663628e-06
21,parameters/encoder.roberta.encoder.layer.1.output.LayerNorm.weight,4.8396511348575005e-09,4.8514982757748734e-18,9.685178891692151e-10,7.942465301279927e-09,0.563354952842928,0.1337718840011416,0.23343248118249252,-0.5688845544961008,0.0,2.3914516752677904e-09,2.2026116942790603e-09
22,parameters/encoder.roberta.encoder.layer.2.attention.self.query.weight,1.1271105853767758e-08,4.596238954291858e-16,1.0870103882454661e-08,8.754918695859171e-08,-0.0015558327343114,0.0693338446486832,1.4537892169938469,1.9231141047967608,0.0,5.336768480258141e-08,2.143884081356047e-08
23,parameters/encoder.roberta.encoder.layer.2.attention.self.key.weight,3.5947643128156394e-06,6.521438963547691e-12,9.412791096616233e-07,9.057610080876271e-06,6.384512236459904e-05,0.0683007588039099,1.896415428720108,4.091032135067747,0.014181185370798578,3.927608025026718e-06,2.553710822224727e-06
24,parameters/encoder.roberta.encoder.layer.2.attention.self.value.weight,3.2343741115217635e-06,9.986813172354342e-13,9.531056810144217e-07,4.112446834094906e-06,-0.0003400633170984,0.0463167858432113,2.306920665097251,5.835135099676644,0.0,2.3704197090985095e-06,9.993404411087518e-07
25,parameters/encoder.roberta.encoder.layer.2.attention.output.dense.weight,4.881109645243078e-07,3.002548323892734e-14,1.0004368469184272e-07,7.263735073182981e-07,3.742173555552434e-05,0.0414278927484812,2.802173966431871,11.320578097524322,0.0,1.0205937916427578e-07,1.7327862891576483e-07
26,parameters/encoder.roberta.encoder.layer.2.attention.output.LayerNorm.weight,1.2666053234998333e-09,1.5753406767239471e-18,9.889672265892368e-10,5.269965051366847e-09,0.7251724091474895,0.1598234007989121,0.19114785285062347,-0.7953752535462508,0.0614502753133001,3.73876140578865e-09,1.2551257613179435e-09
27,parameters/encoder.roberta.encoder.layer.2.intermediate.dense.weight,2.89592241552869e-07,2.6382579734982377e-14,1.095808971782096e-07,7.767325684402275e-07,-0.0120867382125935,0.0654896861363612,1.9586252109954039,5.7197398860615625,0.050194343215165915,6.466306536627751e-07,1.6242715208665814e-07
28,parameters/encoder.roberta.encoder.layer.2.output.dense.weight,3.2161089438248954e-09,6.974916842457032e-19,1.0279027047597767e-09,4.1199829511581465e-09,-3.7825709321953616e-05,0.0529898501126537,3.4951316545138456,15.56684870478541,0.0,3.4548671431439387e-09,8.351596758977909e-10
29,parameters/encoder.roberta.encoder.layer.2.output.LayerNorm.weight,1.148259766569692e-07,6.673315324588166e-15,9.100878107880332e-08,3.598245832627186e-07,0.6014426031130518,0.1366549772009035,0.3056551742430528,0.0031009636597057882,0.0,2.0768004516018806e-07,8.169036249514484e-08
30,parameters/encoder.roberta.encoder.layer.3.attention.self.query.weight,4.7024376311915335e-06,5.646154873489367e-12,1.0363157312404713e-06,9.739315949954251e-06,4.245785264334211e-05,0.0730500181582212,1.3545963741985574,2.403887820519167,0.0,6.6285608033331065e-06,2.37616389870088e-06
31,parameters/encoder.roberta.encoder.layer.3.attention.self.key.weight,5.1512345258033135e-08,5.454457925216271e-16,9.678520458229665e-09,8.283091287976087e-08,-0.0001044009550747,0.0706972257171937,1.8202955868534307,3.7727509839163043,0.0,3.775681918235043e-08,2.3354780934995452e-08
32,parameters/encoder.roberta.encoder.layer.3.attention.self.value.weight,1.0860438715994744e-07,4.411429290981929e-17,9.079954707164045e-08,1.1220739049695381e-07,0.0003005280908609,0.0468599119080456,1.9748497680172739,5.025592844131554,0.0,9.131744056520873e-08,6.641859145587122e-09
33,parameters/encoder.roberta.encoder.layer.3.attention.output.dense.weight,2.8000766692056992e-08,4.867925880849849e-17,9.220893813879022e-09,3.073942473193766e-08,-3.604736994115997e-05,0.0434356040770066,2.7514935091629953,8.788916770580265,0.026094953906148823,1.8466477222956328e-08,6.97705230082866e-09
34,parameters/encoder.roberta.encoder.layer.3.attention.output.LayerNorm.weight,1.2356167597502628e-06,1.6165073926455112e-12,9.150329521697887e-07,4.89242484764317e-06,0.7534604913671498,0.1650337278590578,0.11645923347528384,-0.4793533094470155,0.0,1.445935112664974e-06,1.2714194400926514e-06
