layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity,mean,std
fc2.bias,4.082336747645841e-07,1.2443909324422234e-14,9.758823621972775e-08,4.504681967767257e-07,-3.1558510518864194e-05,0.0200467691820429,0.4368437051762212,0.14828382789361616,0.0,4.4829741649428926e-07,1.1155227171340902e-07
fc1.bias,4.0950717590059615e-08,1.8621843566675584e-16,1.0463729598151088e-08,6.298515876959528e-08,0.7224649448495858,0.1133428719451089,1.0568171605053942,0.7814531866501246,0.07434397565477617,2.8703216006460755e-08,1.3646187587262453e-08
convs_code_file.2.bias,8.054568066872532e-05,4.706266001472582e-10,1.0023395620200354e-05,8.745487945497397e-05,0.8051789876384037,0.1374376907114736,0.20413360902605707,-0.6537703055391172,0.027507421603898564,3.265028680843694e-05,2.1693930030016657e-05
convs_code_file.1.bias,5.824771995464703e-08,5.409445383565896e-16,1.0944012477055076e-08,9.366127270735518e-08,-0.0001044009550747,0.0706972257171937,1.7297216056658937,3.8207172689564364,0.09773178505715388,4.2693622647064956e-08,2.3258214427521938e-08
convs_code_file.0.bias,4.507715519707051e-09,4.584464580619971e-18,9.020904603386318e-10,7.39771795645523e-09,0.563354952842928,0.1337718840011416,0.2797293659677208,-0.27342681292489845,0.0,2.227429938821707e-09,2.1411362825892166e-09
convs_code_line.2.bias,4.80794982531499e-07,5.820546972114864e-14,1.0197765828573332e-07,9.98483949314002e-07,1.953889443484899e-05,0.039087298509953,2.634792036277044,8.981414910959106,0.04266593001084454,2.012393667491579e-07,2.412580977317625e-07
convs_code_line.1.bias,1.2813426914209816e-06,6.106853979005797e-13,9.83882319228614e-07,3.5451276728874764e-06,6.742295416513179e-06,0.0432375307227778,2.399045795625122,5.580753299984463,0.0239455297251429,3.289216189636055e-06,7.814636254494383e-07
convs_code_line.0.bias,2.4301598120006965e-07,1.0309413611233107e-14,9.030171753530117e-08,4.114362694534188e-07,0.0005278906998377,0.0197473282303864,0.4335920991411888,-0.2021325727035564,0.0,1.0297353694911835e-07,1.0153528259296423e-07
convs_msg.2.bias,2.0328157260574726e-08,2.081647632711932e-16,9.337158320391263e-09,5.477444384064241e-08,-0.0006588076272084,0.0546666985913124,5.062457436835435,30.085321507162753,0.02383832534617132,1.3723422605207682e-08,1.4427916109791923e-08
convs_msg.1.bias,1.9999365949903604e-07,2.0134099413710136e-14,1.0094987977274933e-07,5.667218010270435e-07,6.062533815187235e-07,0.0751172360038982,1.222147100771506,2.6950049508847354,0.0,2.4315502023723455e-07,1.4189467718596826e-07
convs_msg.0.bias,1.0590490667182885e-08,1.0081843014285452e-18,9.132913738361519e-09,1.2291414511539347e-08,0.3357254763638286,0.0639204642931742,0.504772592576973,-0.05149545426330858,0.019154867462004233,1.1981129687743632e-08,1.0040838119542338e-09
