Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity,mean,std
0,parameters/classifier.dense.weight,2.0461280027493867e-09,1.7818630767365606e-18,9.626409010217972e-10,5.132895011508001e-09,1.831291045712778e-06,0.020884424568294,-2.4953150490662894,1.8112691321451484,0.0,1.0426775723327381e-09,1.3348644413334859e-09
1,parameters/classifier.out_proj.weight,1.0947728756234649e-07,1.1216922907475289e-17,9.894417432582481e-08,1.0973769467978955e-07,-4.371185445960871e-05,0.0187137944230178,-1.2942603966691215,2.556931939741203,0.010891345166579948,1.0154758716783144e-07,3.3491674946880884e-09
2,parameters/encoder.roberta.embeddings.word_embeddings.weight,5.658356686556084e-07,2.223378558125155e-14,1.0957183463981599e-07,6.49940173276108e-07,-0.0113615072623671,0.1283658394965572,1.81129954374601,3.971960063727276,0.062041505389468316,3.551029600299687e-07,1.49109978141141e-07
3,parameters/encoder.roberta.embeddings.position_embeddings.weight,3.486699802595919e-08,3.794757339756427e-16,9.977750066406896e-09,7.619223171725232e-08,0.0003445132038981,0.0755137771931206,2.9344080846167193,10.408701286197731,0.0,4.1497043758964855e-08,1.948013690854463e-08
4,parameters/encoder.roberta.embeddings.token_type_embeddings.weight,3.769352361550589e-06,7.002387732889182e-12,1.0154854546686976e-06,9.74664176103567e-06,-0.0002076929983255,0.0251005607441857,3.9956868023675813,21.24597563244699,0.0,7.886061918073142e-06,2.646202511692781e-06
5,parameters/encoder.roberta.embeddings.LayerNorm.weight,1.2570629165266161e-08,9.78604490192547e-19,1.084052433557796e-08,1.4589580275059415e-08,0.3357254763638286,0.0639204642931742,0.4760735542870243,0.0973374065340716,0.0,1.4221280488191898e-08,9.892444036700674e-10
6,parameters/encoder.roberta.encoder.layer.0.attention.self.query.weight,4.089635060623847e-06,2.5690142021175482e-12,1.0582810924702885e-06,6.905709835526995e-06,8.546326140564047e-05,0.1016103293044025,1.1035247683169986,1.3619774397481577,0.0,1.4480241502282486e-06,1.6028144627864911e-06
7,parameters/encoder.roberta.encoder.layer.0.attention.self.key.weight,1.2870552814031516e-07,1.136035308653964e-16,1.0144986048932995e-07,1.3949925006000832e-07,0.000112793106243,0.1006120468130983,1.4315884148869886,2.254078633004596,0.04283761386361251,1.0467614494033995e-07,1.0658495713063661e-08
8,parameters/encoder.roberta.encoder.layer.0.attention.self.value.weight,3.2380189118025153e-09,3.632878138214537e-18,1.0908748274330379e-09,8.331638566630441e-09,3.158816936226893e-05,0.0397860407903909,1.5700618816820873,3.2712818678311497,0.012846991170042356,3.6486848169351927e-09,1.9060110540640985e-09
9,parameters/encoder.roberta.encoder.layer.0.attention.output.dense.weight,1.8359275880667518e-07,2.3191392250725344e-15,9.023159176427191e-08,2.3162305397819628e-07,3.304292350580742e-06,0.0403816936415788,3.3956743005264536,12.729039196492513,0.0,1.0414389655273826e-07,4.815744205283888e-08
