Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity,mean,std
0,parameters/classifier.dense.weight,2.2409514990753583e-09,1.687717172243353e-18,1.05429942179442e-09,5.621627168573647e-09,1.831291045712778e-06,0.020884424568294,-2.109950507250405,2.4697540356859298,0.008053275146145046,1.1419568402522343e-09,1.2991216926228857e-09
1,parameters/classifier.out_proj.weight,1.250350923832977e-07,1.0180433455139243e-17,1.1300511962879192e-07,1.2533250592643305e-07,-4.371185445960871e-05,0.0187137944230178,-1.4016737283539307,2.0690909924234773,0.0,1.159785031721756e-07,3.190679152647479e-09
2,parameters/encoder.roberta.embeddings.word_embeddings.weight,4.961385750958691e-07,2.4954834621217967e-14,9.607526870478362e-08,5.698834649871348e-07,-0.0113615072623671,0.1283658394965572,1.622144186037963,4.055411724534101,0.0,3.113629740242212e-07,1.5797099297408363e-07
3,parameters/encoder.roberta.embeddings.position_embeddings.weight,3.610997699728767e-08,4.175495403596675e-16,1.0333448412002392e-08,7.890842029570755e-08,0.0003445132038981,0.0755137771931206,3.213561641577835,10.736612952257195,0.08036894993912803,4.297637824959949e-08,2.043402898010247e-08
4,parameters/encoder.roberta.embeddings.token_type_embeddings.weight,4.20245667781794e-06,5.0543532409750544e-12,1.1321662770853107e-06,1.0866545715591846e-05,-0.0002076929983255,0.0251005607441857,4.2721459412275316,20.845334098813403,0.039135437827794765,8.79218242034002e-06,2.248188880182235e-06
5,parameters/encoder.roberta.embeddings.LayerNorm.weight,1.256945322710002e-08,9.427494039115838e-19,1.0839510242636423e-08,1.4588215471114612e-08,0.3357254763638286,0.0639204642931742,0.5437786338621016,-0.05026354278703692,0.016109494474610214,1.4219950137397391e-08,9.709528330004416e-10
6,parameters/encoder.roberta.encoder.layer.0.attention.self.query.weight,4.0580644024873535e-06,2.4081724485511528e-12,1.050111505187457e-06,6.852399992185132e-06,8.546326140564047e-05,0.1016103293044025,1.1213484711848762,1.7929726127769432,0.0,1.4368458727676506e-06,1.5518287433061525e-06
7,parameters/encoder.roberta.encoder.layer.0.attention.self.key.weight,1.3483580811884454e-07,1.3408525132674253e-16,1.0628194546321178e-07,1.4614363800525978e-07,0.000112793106243,0.1006120468130983,1.41338820020247,2.142705444323008,0.0,1.0966189873685e-07,1.1579518613774176e-08
8,parameters/encoder.roberta.encoder.layer.0.attention.self.value.weight,2.639224653658949e-09,3.961558937176258e-18,8.891435834803478e-10,6.7909010136651926e-09,3.158816936226893e-05,0.0397860407903909,1.675573149811241,3.247394374894751,0.03111101107693391,2.973947708330666e-09,1.990366533374257e-09
9,parameters/encoder.roberta.encoder.layer.0.attention.output.dense.weight,1.8581088679101162e-07,2.2424184797246727e-15,9.132175033078874e-08,2.3442147359553812e-07,3.304292350580742e-06,0.0403816936415788,3.322650962027376,12.756048616606785,0.0,1.054021405752311e-07,4.735418122747635e-08
10,parameters/encoder.roberta.encoder.layer.0.attention.output.LayerNorm.weight,7.545527881152741e-09,6.694173600376297e-18,9.798746651760195e-10,9.515308413405241e-09,0.6156525901945613,0.0974861908782125,1.8454033550108342,3.368017019472892,0.0,3.5016239895948655e-09,2.5873101090469015e-09
11,parameters/encoder.roberta.encoder.layer.0.intermediate.dense.weight,4.0118008152391535e-08,3.0692907848838647e-16,8.789934113624454e-09,5.74432453264008e-08,-0.0113346586189311,0.0607580357729595,2.6117553617744607,9.370118556508478,0.09299737605539633,4.6478432518924286e-08,1.751939149880459e-08
12,parameters/encoder.roberta.encoder.layer.0.output.dense.weight,2.8012282529164586e-05,7.227506682858422e-11,1.083145427560031e-05,3.937665078833221e-05,-0.000112760096662,0.0509716953262455,4.552053641221895,23.07373843058562,0.05377831336553981,3.88048999037953e-05,8.501474391456118e-06
13,parameters/encoder.roberta.encoder.layer.0.output.LayerNorm.weight,1.9030069619790292e-06,1.051872944309137e-13,9.193483088563411e-07,1.9792297789974527e-06,0.5109690259462994,0.1123735305669006,0.43695645889173534,0.17178841010363857,0.0,1.2778717704107574e-06,3.243259077392889e-07
14,parameters/encoder.roberta.encoder.layer.1.attention.self.query.weight,2.5350415549776513e-07,3.1209561124364626e-14,1.0890425900805704e-07,7.096698384425243e-07,0.0001951886705329,0.0759863889472458,1.177883349718458,1.8578245869508878,0.0,6.754717611214019e-07,1.766622798572593e-07
15,parameters/encoder.roberta.encoder.layer.1.attention.self.key.weight,3.2588119321606272e-06,4.2656163540667606e-13,1.0131723621255218e-06,3.620228075135994e-06,-3.776269572425157e-05,0.0745593718141202,2.196389335799023,4.813657872632789,0.0,3.1403914908770627e-06,6.531168619831185e-07
16,parameters/encoder.roberta.encoder.layer.1.attention.self.value.weight,3.856162875434292e-08,1.264478428072403e-16,9.593665478336805e-09,4.935802236602236e-08,0.0001040482220213,0.0421736568456787,1.5605534699465056,3.551086016857017,0.0,4.307519643437199e-08,1.1244902970112296e-08
17,parameters/encoder.roberta.encoder.layer.1.attention.output.dense.weight,1.3740719642051421e-08,6.859645106207157e-16,9.938269678856532e-09,9.801149042289235e-08,-9.920277029305042e-06,0.039764444603185,2.8379424337758485,12.49179635264284,0.015581928140744212,9.24970557822822e-08,2.619092420325628e-08
18,parameters/encoder.roberta.encoder.layer.1.attention.output.LayerNorm.weight,2.6392379130552133e-06,3.119863155436709e-13,1.009077068216712e-06,2.9481218801461673e-06,0.6438848846203952,0.1354366076190484,0.709234259304218,-0.19615495105934747,0.0,1.9899481080854997e-06,5.585573520630363e-07
19,parameters/encoder.roberta.encoder.layer.1.intermediate.dense.weight,2.6953215306904746e-07,5.821037447131604e-15,9.47458610124573e-08,3.4846921893058133e-07,-0.0143675512643725,0.0644239113303974,2.477315404985978,8.74138461599292,0.0,2.3810513833823722e-07,7.629572364904606e-08
20,parameters/encoder.roberta.encoder.layer.1.output.dense.weight,2.285013251474522e-06,1.4136397705371678e-12,1.1285641950888422e-06,5.816639351541124e-06,5.649138364106832e-05,0.0527436002953514,4.174833698048612,24.446806285631936,0.02212909041112645,1.1723115301696957e-06,1.1889658407780973e-06
21,parameters/encoder.roberta.encoder.layer.1.output.LayerNorm.weight,5.2264111564786e-09,5.402426516741933e-18,1.0459168564331098e-09,8.577186268980071e-09,0.563354952842928,0.1337718840011416,-0.17374118976738853,-0.19272044851210154,0.00953820593158655,2.582564190583343e-09,2.324312052359135e-09
