Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity,mean,std
0,parameters/classifier.dense.weight,2.29527746052145e-09,1.2446191378327364e-18,1.0798581319069205e-09,5.7579086994100995e-09,1.831291045712778e-06,0.020884424568294,-2.323357631411163,2.45869567624032,0.05294449662978071,1.1696405733906985e-09,1.1156249987485651e-09
1,parameters/classifier.out_proj.weight,1.0998915784888195e-07,9.000640985072747e-18,9.940679615351974e-08,1.10250782521754e-07,-4.371185445960871e-05,0.0187137944230178,-1.2707462119157134,2.1346392597156756,0.0,1.0202238147172742e-07,3.000106828943387e-09
2,parameters/encoder.roberta.embeddings.word_embeddings.weight,4.98424804139269e-07,1.749840336174947e-14,9.651798789795034e-08,5.725095138259199e-07,-0.0113615072623671,0.1283658394965572,1.69294312518066,3.635350549609311,0.0,3.1279774872222966e-07,1.3228153069022701e-07
3,parameters/encoder.roberta.embeddings.position_embeddings.weight,3.541059253990507e-08,3.821504839512347e-16,1.0133308345143246e-08,7.738010797594126e-08,0.0003445132038981,0.0755137771931206,2.8900998209828273,10.369867263321499,0.0,4.214400411143199e-08,1.9548669621005794e-08
4,parameters/encoder.roberta.embeddings.token_type_embeddings.weight,3.8888318368538e-06,6.3111338732961055e-12,1.047673920395459e-06,1.0055587047089494e-05,-0.0002076929983255,0.0251005607441857,4.170423826034429,20.712787274480117,0.08597513103662284,8.136031262884516e-06,2.5121970211940196e-06
5,parameters/encoder.roberta.embeddings.LayerNorm.weight,1.0788011885464777e-08,7.9391180401802135e-19,9.30324996779181e-09,1.252065933550677e-08,0.3357254763638286,0.0639204642931742,0.5840643815912588,0.1734847400785104,0.0019475895717930155,1.2204587448737626e-08,8.910172860377184e-10
6,parameters/encoder.roberta.encoder.layer.0.attention.self.query.weight,3.4332042329443483e-06,2.086121557648083e-12,8.88415487556909e-07,5.797268432846448e-06,8.546326140564047e-05,0.1016103293044025,1.3518506025739145,1.6544609266299892,0.07453431147155538,1.2156005531728098e-06,1.4443412192581373e-06
7,parameters/encoder.roberta.encoder.layer.0.attention.self.key.weight,1.377735475939641e-07,1.1240224917033909e-16,1.0859756674390737e-07,1.493277471851241e-07,0.000112793106243,0.1006120468130983,1.0679853945972642,2.2148332253698726,0.0,1.1205116085742748e-07,1.0601992698089314e-08
8,parameters/encoder.roberta.encoder.layer.0.attention.self.value.weight,2.958232372034962e-09,3.787046616899094e-18,9.966159297550394e-10,7.611729144034207e-09,3.158816936226893e-05,0.0397860407903909,1.5137596891761538,3.2777704247716195,0.03864399544509591,3.3334139900997722e-09,1.9460335600649575e-09
9,parameters/encoder.roberta.encoder.layer.0.attention.output.dense.weight,2.009753140173975e-07,2.158447232854364e-15,9.877471533727415e-08,2.535531156539498e-07,3.304292350580742e-06,0.0403816936415788,3.345546389174669,12.377471197109026,0.029882558776180134,1.140042365980337e-07,4.645909203648264e-08
10,parameters/encoder.roberta.encoder.layer.0.attention.output.LayerNorm.weight,7.098956971742785e-09,6.488875267227143e-18,9.218822321444708e-10,8.95215895608173e-09,0.6156525901945613,0.0974861908782125,1.5499979971203286,3.267173494151365,0.0,3.294385551930221e-09,2.5473270828904445e-09
11,parameters/encoder.roberta.encoder.layer.0.intermediate.dense.weight,4.421521833091678e-08,2.8705294767270656e-16,9.68764088366412e-09,6.330986384207657e-08,-0.0113346586189311,0.0607580357729595,2.6989358846940874,8.958975758855198,0.0,5.1225226180141544e-08,1.6942636975179117e-08
12,parameters/encoder.roberta.encoder.layer.0.output.dense.weight,2.746515422035077e-05,7.286947996639367e-11,1.0619897246870734e-05,3.860755671932365e-05,-0.000112760096662,0.0509716953262455,4.412166408384193,23.225658774354837,0.0,3.8046973118073773e-05,8.536362220899113e-06
13,parameters/encoder.roberta.encoder.layer.0.output.LayerNorm.weight,2.084257234152105e-06,9.769726196798188e-14,1.00691085304629e-06,2.1677398282530147e-06,0.5109690259462994,0.1123735305669006,0.4894540301807359,-0.0966515071232231,0.0,1.3995815753756183e-06,3.12565612260821e-07
14,parameters/encoder.roberta.encoder.layer.1.attention.self.query.weight,1.9400923497387584e-07,2.3977146301955916e-14,8.334550545754755e-08,5.431173393190471e-07,0.0001951886705329,0.0759863889472458,1.3592067094047229,2.4444896129889218,0.09866734133071466,5.169452128479018e-07,1.5484555628740502e-07
15,parameters/encoder.roberta.encoder.layer.1.attention.self.key.weight,3.1610334747730446e-06,6.577613996106177e-13,9.827728077177641e-07,3.511605569773028e-06,-3.776269572425157e-05,0.0745593718141202,2.067794594286437,4.329305315552702,0.0789251515925689,3.04616615908031e-06,8.11024906899053e-07
16,parameters/encoder.roberta.encoder.layer.1.attention.self.value.weight,4.106495226695241e-08,1.4151419971356718e-16,1.0216462002752953e-08,5.2562220474766746e-08,0.0001040482220213,0.0421736568456787,1.284182326277966,3.125700749696462,0.03590464575169851,4.587152935722063e-08,1.1895974096876946e-08
17,parameters/encoder.roberta.encoder.layer.1.attention.output.dense.weight,1.176785864512298e-08,7.160636253045001e-16,8.511355722591183e-09,8.393922552386982e-08,-9.920277029305042e-06,0.039764444603185,2.816691490589317,12.755603393418939,0.02898491011618256,7.92165407556082e-08,2.6759365188742802e-08
