Unnamed: 0.1,Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity,std
0,0,parameters/conv2d.bias,0.05970067479804625,0.008138113539117966,-0.2707367507650269,0.14716797613968471,-0.035914091823765856,0.1071047033774058,0.44932996806378905,1.1085877061902203,0.0,0.0902114933870293
1,1,parameters/conv2d_4.bias,0.04525657862827533,0.012064808817850735,-0.3418783612758249,0.06436451471613915,-0.07098529256265863,0.12760853950771,0.1950603824020283,0.8397960760712927,0.003925260047981572,0.10983992360635916
2,2,parameters/conv2d_8.bias,0.04872985516562721,0.013192925385325462,-0.38185299990290006,0.029652062270871794,-0.08974972526744895,0.1302956605332593,0.2750508426637644,0.649956991597635,0.0,0.11486046049587968
3,3,parameters/conv2d_1.bias,0.034349250620412844,0.0028175903952192562,-0.21245140439920365,0.10486372544379452,0.0003260167454422529,0.0659617465336979,0.1004090154382791,0.5893795846747649,0.06519059372971084,0.0530809795992814
4,4,parameters/conv2d_2.bias,0.038950491394996574,0.0034334033698672373,-0.15852344932455179,0.13121102435600618,-0.014943920501438229,0.0696706335057795,0.3398535102752483,0.1536276982646655,0.07659113437326232,0.0585952504036575
5,5,parameters/conv2d_5.bias,0.05115609266767368,0.004192851196678688,-0.19579275397310156,0.09719213917191544,-0.03427901872820248,0.0787271482502795,-0.0951022501061777,-0.3396466918093279,0.0,0.0647522292796067
6,6,parameters/conv2d_6.bias,0.04489698154814293,0.003897799990449325,-0.19377710490425049,0.11308958020161206,-0.02551187278872442,0.0702301725486561,0.17876373714103058,-0.42627539096121136,0.0,0.06243236332583783
7,7,parameters/conv2d_3.bias,0.03589537118906136,0.002792642105728326,-0.1891684487575304,0.14842727966806443,-0.01742332003142167,0.0683925964345908,0.2521023171608162,0.6256851560652021,0.0,0.052845454920252125
8,8,parameters/conv2d_7.bias,0.033535888596150254,0.002802246708848302,-0.1977231546748608,0.09781392664993337,-0.025561078441167315,0.0667153770324049,0.4391961474578039,0.41549004732815886,0.0,0.05293625136754885
9,9,parameters/conv2d_9.bias,0.05123520080787374,0.00473965949121971,-0.23330152430904838,0.08680228996387417,-0.04162031261852392,0.0862923331846943,0.10543409259279879,-0.08109738026253693,0.0,0.06884518495305039
10,10,parameters/conv2d_10.bias,0.036168251073507636,0.003404633111030328,-0.1893510450597601,0.07871906094955586,-0.028296226150159975,0.0737739008552545,0.12603527055359715,-0.08285107148285369,0.0,0.05834923402265376
11,11,parameters/conv2d_11.bias,0.045991314070847875,0.0033315401279249476,-0.20601818118008425,0.11592101323884756,-0.025374521723549752,0.0707575492688124,-0.05479643515809417,-0.32855038684602383,0.09654496452479078,0.05771949521543825
12,12,parameters/dense.bias,0.027934928142531054,0.0018605892655425688,-0.2188034569307137,0.09763647417233558,0.0013315796183744793,0.0497045820542529,0.2498377816243481,0.5416020886913728,0.0,0.04313454839850029
13,13,parameters/dense_1.bias,0.0859440544394106,0.010279609288076752,-0.25731282528950306,0.23342501911798164,0.017188788281405066,0.120109769727107,0.12466327398488157,0.21765499323249077,0.0,0.1013884080557379
14,14,parameters/dense_2.bias,0.43689288700788786,0.0,-0.43689288700788786,-0.43689288700788786,-0.43689288700788786,0.0,1.7713308900292462,24.30576513418082,0.0,0.0
