layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis,Mean,StdDev
fc2.bias,0.037183674189480515,0.24171360563188063,5.040219679668849e-06,0.21520761722671589,0.28087715652275114,0.007259206682153379,0.0,0.4405880985037073,-413.19419573513375,0.2461061156846757,0.002132386845281
fc1.bias,0.4108230249887617,0.38270623756412503,8.615149183230718e-06,0.34102876010901984,0.42945061404903984,0.1047481184917647,0.10415377349904448,0.2499651168278111,-463.8095521337047,0.377064553723153,0.0027727409460202
convs_code_file.2.bias,0.5221866789466415,0.3329582680818381,2.4241927892296775e-05,0.296683485301656,0.3701299827505696,0.019346551513690528,0.0,0.661834599917879,-458.64043210170877,0.3197728147152384,0.0050534020556626
convs_code_file.1.bias,0.685744221635,0.4012977985950746,2.8758890230391833e-05,0.3586094747049524,0.4771586981600468,0.09265640868008969,0.06875160519527611,-16.373979317720025,-70.11840531667796,0.4399323723271972,0.0056733351856483
convs_code_file.0.bias,0.22078676647424103,0.3091294860005968,4.830813838403197e-05,0.2693046737531846,0.3641182103567189,0.10716498595404007,0.0,1.19757310614414,-459.61284231026275,0.2999921650157036,0.0069211547372951
convs_code_line.2.bias,0.04037599208728537,0.020178646183448674,6.937510979901044e-05,0.016079315102237403,0.02362344773377442,0.014752766902432577,0.0,0.06854967250388458,-463.9257164464838,0.0186096889004574,0.0086476007141304
convs_code_line.1.bias,0.01689996294466538,0.32436812417174565,1.7104587214703292e-05,0.27632842497966087,0.3771656289220636,0.0108927127939423,0.06865882706120813,0.3800599627497816,-464.54915539571243,0.3155412067878607,0.0039905671577149
convs_code_line.0.bias,0.042543649384775076,0.2873996813387379,3.301823352909565e-05,0.24254519466934424,0.3276007606044979,0.007583744369012095,0.0,-0.1080454090406731,-464.401889345375,0.2634484678592048,0.0057903049247191
convs_msg.2.bias,0.044953088777366,0.24155563033937713,6.0674506793874e-05,0.19493849423034762,0.2870882961512595,0.013179040466252073,0.03806904763927157,0.3163807558035839,-462.747738071844,0.2500597326772314,0.0077540919816115
convs_msg.1.bias,0.6936674700682349,0.2974801371983978,9.675568362104991e-05,0.25027762087919864,0.3376630369512585,0.17935882251932653,0.007244604867167887,-1.3382832233086974,-451.5058900676664,0.3139422433869087,0.0094064514184517
convs_msg.0.bias,0.02043658101813894,0.15898459189311953,6.201644247541109e-05,0.14280220823341017,0.18890977254363678,0.007501308468128114,0.0,2.6927699729889256,1836.991723493555,0.158226804994506,0.0077180814068325
