Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity,mean,std
0,parameters/classifier.dense.weight,2.0662626972397147e-09,1.6445089495202172e-18,9.721136614844484e-10,5.1834046926075075e-09,1.831291045712778e-06,0.020884424568294,-2.3133514378206637,2.267946528481014,0.0,1.0529379247362175e-09,1.2823840881421665e-09
1,parameters/classifier.out_proj.weight,1.2471477884575806e-07,8.394990043534459e-18,1.1271562434440069e-07,1.250114304781186e-07,-4.371185445960871e-05,0.0187137944230178,-1.2517703597667755,2.630567189460192,0.05319584206499455,1.1568139070621486e-07,2.8974109207246485e-09
2,parameters/encoder.roberta.embeddings.word_embeddings.weight,4.6483922243668594e-07,2.2385104471189762e-14,9.001427311209918e-08,5.339318489656979e-07,-0.0113615072623671,0.1283658394965572,1.3443508124712478,4.179472732552461,0.003172391723931442,2.9172035799277666e-07,1.496165247263475e-07
3,parameters/encoder.roberta.embeddings.position_embeddings.weight,3.574384114736635e-08,3.23590929822835e-16,1.022867277292539e-08,7.810833112552922e-08,0.0003445132038981,0.0755137771931206,2.7661065023272444,10.33768215984682,0.0,4.254062076412284e-08,1.798863335061435e-08
4,parameters/encoder.roberta.embeddings.token_type_embeddings.weight,3.863887191757933e-06,6.398583412570802e-12,1.0409536878894412e-06,9.991086173654148e-06,-0.0002076929983255,0.0251005607441857,4.247826878661557,20.98108699886478,0.0,8.083843248371209e-06,2.5295421349664848e-06
5,parameters/encoder.roberta.embeddings.LayerNorm.weight,1.1699800198584745e-08,1.1525052875746374e-18,1.008954819259218e-08,1.3578888690078868e-08,0.3357254763638286,0.0639204642931742,0.517913649484159,0.008153274875971811,0.0,1.3236102830844586e-08,1.0735479903453957e-09
6,parameters/encoder.roberta.encoder.layer.0.attention.self.query.weight,3.4303215805117578e-06,2.7745047037384503e-12,8.876695391971281e-07,5.7924008197315725e-06,8.546326140564047e-05,0.1016103293044025,1.2629497798275462,1.5674027433394442,0.033393802668029264,1.214579887446595e-06,1.66568445503296e-06
7,parameters/encoder.roberta.encoder.layer.0.attention.self.key.weight,1.2831449147321566e-07,1.0123285334336634e-16,1.0114163273954592e-07,1.3907541961080748e-07,0.000112793106243,0.1006120468130983,1.2556600931982482,2.397705483934247,0.09722128004059401,1.0435811500461204e-07,1.0061453838455275e-08
8,parameters/encoder.roberta.encoder.layer.0.attention.self.value.weight,3.058761089037838e-09,4.314448321576487e-18,1.0304836278135203e-09,7.870396235996557e-09,3.158816936226893e-05,0.0397860407903909,1.487232337981054,3.4302120274702967,0.0,3.4466923906852045e-09,2.0771250134684925e-09
9,parameters/encoder.roberta.encoder.layer.0.attention.output.dense.weight,2.0081070372226697e-07,2.0039347586354786e-15,9.869381318706428e-08,2.5334544112733876e-07,3.304292350580742e-06,0.0403816936415788,3.2393097992442037,12.989663325806971,0.02553008336876694,1.1391086059748217e-07,4.476532987296619e-08
10,parameters/encoder.roberta.encoder.layer.0.attention.output.LayerNorm.weight,8.411175121192848e-09,6.232097591049063e-18,1.0922890400024048e-09,1.0606935214860552e-08,0.6156525901945613,0.0974861908782125,1.5312732629972217,2.9076982995668583,0.06878858854956289,3.903341561909758e-09,2.4964169505611554e-09
11,parameters/encoder.roberta.encoder.layer.0.intermediate.dense.weight,3.8910067258001233e-08,2.318938227271987e-16,8.525271899226595e-09,5.571364686596183e-08,-0.0113346586189311,0.0607580357729595,3.030928129443682,9.1737655425864,0.0,4.507898120186227e-08,1.52280603731138e-08
