word,value
audit_location_generator,1.0
nailing,1.0
1050997,1.0
python-novaclient,1.0
extendedstatus,1.0
mix,1.0
remove_iscsi_target,1.0
casting,0.9987099318900938
extracts,0.9880501517120444
util.execute,0.9876670970389201
account_quota,0.9854289543931878
1300972,0.9770385088390408
markwash,0.9589062257705985
e12e6b45f8,0.9556724470581923
doc/ext/nova_todo.py,0.9545371908102817
routemaps,0.9426969461170642
xmlns=,0.9371181465722372
dispose,0.9359346668392947
reseller,0.9327205149515175
old,0.9301247929894866
16384,0.9209588722692991
nova/db/sqlalchemy/api.py,0.9198435708184348
_assert_tables,0.9190845146081665
i56ad98d3702f53fe8cfa94093fea89074f7a5e90,0.9071826578372605
persistant=,0.9068328878089894
//review.openstack.org/31172,0.8961531037553956
internal-uuids,0.8948598460787561
i62ce43a330d7ae94eda4c7498782a655e63747fa,0.8843210398877669
volume_driver,0.8840539039538973
semaphores,0.883842295923235
2012-02-06,0.8817874686696195
kovalev,0.8710484097636195
compability,0.8688773840721902
default=none,0.8643180712576344
dlos,0.8631791363882761
true/false,0.8564489206161026
add_network_to_project,0.8551603019982148
computemanager,0.8535050381861511
de-duplicate,0.8527956573692866
doug,0.8502182147289267
1055401,0.848516697343394
fired,0.8455479667184166
illumos,0.8448072430077315
requires,0.8406687105251762
blind,0.839504223651042
alexander,0.8390439294241899
ef406a2,0.8349013942537284
precision,0.8343318231203875
object-server,0.8278355600988805
handes,0.8270358884523192
'mock,0.8254305699481321
everything,0.824185030978106
bumped,0.8226702837843723
mindisk,0.822236847836835
outputs,0.8176289520235241
common/utils,0.8160126879295204
fsck,0.8105402557335188
datetime.utcnow,0.8102165433636629
tilde,0.8074311193813541
subqueries,0.8054856584553511
escape,0.8044919581641693
_terminate_volume_connections,0.8042673993326848
overwritten,0.8037472216546012
s/flags/conf/,0.8031784703083482
governed,0.8016252541162869
'string,0.8008474242503362
rrd,0.8006117503915953
compares,0.7981073628624847
normalize_time,0.7941914848548524
undo,0.7937493486259961
e12e6b45f8,0.7895473669904745
breaking,0.78694982412894
instance_set_state,0.7861993043793296
authz,0.7857271865895388
esm,0.7851854251056442
sevice,0.7805959956146187
fidelity,0.7789670350657151
0.6.x,0.7784070504416472
default_project,0.7733764810422624
