word,value
undo,1.0
lp:1019348,1.0
layout,1.0
sides,1.0
apply,1.0
accident,1.0
w/o,1.0
-k,1.0
esm,1.0
x-container-*,1.0
nova/virt/,1.0
xargs,0.9914127925610312
instance_set_state,0.9766565278949144
an,0.9673640083896742
virtualpowerdriver,0.9605881592613617
normalize_time,0.9602497492600875
covers,0.9538581868442912
2011.3.1,0.9452346953706
deal,0.9445266611971832
grenade,0.9433352242561016
t.,0.938634731415293
vm-data,0.938323546852894
1065531,0.93791993636636
gather,0.9372373481188276
1070509,0.9322392473131652
standardized,0.932059100824872
'mode,0.9310553870422128
wadl,0.9294830815592248
free_capacity_gb,0.9285021031651938
sendfile-present,0.9280007838861506
1262288,0.9257157834626378
1079211,0.920287418370144
per-aggregate,0.9173599137357294
outright,0.9171467986732932
identifies,0.913282178849441
swift-proxy,0.9115527493592916
utils.finish_process,0.9096962470042254
compares,0.8950218884073787
magnified,0.8926119783364397
complete,0.8915567477899466
flat_injected,0.8878856997595581
0.6.x,0.8843033802945839
flavor-create,0.8794997731959282
greenthreads,0.8788183974505862
os-server-external-events,0.8733644774793018
dmcrypt,0.8711227039355827
mismatch,0.870186824196875
mitchell,0.8687596233644224
nova.network.linux_net,0.8650184500328837
reference,0.8607153369223631
undocumented,0.8593550853718814
assertgreater,0.8569579698899432
threads,0.8553708999095018
workable,0.8522367408150219
weigh,0.8508180983839968
docs,0.8506554646367949
fit,0.849937081000614
tools/flakes,0.8498719196778064
compute_node_get,0.8492209244984659
tiers,0.8487142210687384
overlimit,0.8478632250255558
libvirtconfigguestcpu,0.8471649820814297
surface,0.8464008393076572
e53fe85,0.8461684028746299
pydev3,0.8451937270122716
bigint,0.8434681331351502
bp/no-db-compute-manager,0.832829315584397
selection,0.8307781558868794
openstack-licensing,0.8298631458425489
e12e6b45f8,0.8295611429693674
absense,0.8250619178537226
display_description,0.8245886801536041
directories,0.8237354617845857
1.5.4,0.8227845852669634
ami,0.8203960759939782
iniparser,0.8203604832704388
amqp,0.8192234084341691
booleans,0.8191763155408098
regenerate,0.817239941612121
volume_get_iscsi_target_num,0.8168500406403798
doc/ext/cinder_todo.py,0.8154808209422864
availabilty_zones.set_availability_zones,0.8116163207927201
tell,0.8109863335535492
image.upload,0.8093902330678784
durable,0.8070695314270974
test_volume_utils,0.8053056328726093
fall,0.8047664369122638
and/or,0.804573005701027
mechanical,0.8012601691243934
fields,0.7972196524465001
.ini,0.7972082888253241
extend,0.7953376781889938
look,0.7922319982516297
eliminates,0.7916454410168801
rabbit_durable_queues,0.791208425917538
lfs,0.7909587907307045
interest,0.7890530446145435
cdn,0.7879687694021619
servicenotfound,0.7876550715523486
combination,0.7868194814547487
uuids,0.7850662269239335
towards,0.784859719228358
'raise,0.7829806197634622
mutables,0.7811149168664515
cover,0.7800257028986881
dis,0.7788737345335923
mis-use,0.778150147732192
context,0.7770671080687863
prefixes,0.7765817847940464
remotefsclient,0.7756998656378643
confkeymanager,0.7744672479956817
rhel,0.7728142282358405
imagebackend.py,0.7722248365237406
exercise,0.7716461745463474
nova.volume.cinder.api,0.7705902370718947
hardcodes,0.7695825055376586
understanding,0.7686662350394036
stands,0.7636019718125362
connect,0.7605726732006928
flags,0.7598613040918499
socket,0.7566844385296518
block,0.756621750076038
utils.runthis,0.7561563935324183
breaking,0.7547219998514321
than,0.7532344400141473
inbound,0.7516438328832253
numbered,0.7493108110326548
ldapgroupmembershipnotfound,0.7483718033766434
exceeds,0.7477068353805787
pulling,0.7476767452572073
fidelity,0.7474215983288179
swift.conf-sample,0.7460019457288635
intend,0.7456228001302339
roots,0.7452751300437277
authz,0.7446297066633427
unwrap,0.7443544398390194
require_context,0.7436808660326851
declared,0.7427948230518517
introspect,0.7424042415539425
nova.tests.test_quantum,0.741950173476803
nova.image.glance,0.7419272327575757
wmi,0.7413784654406603
six.add_metaclass,0.7401739317452758
yet,0.7396253246981613
servicecatalog,0.7391734771600371
security_groups,0.7386871267130323
virtualdiskmanager.copyvirtualdisk,0.736717307178748
n309,0.7356773172314084
0755,0.7349971221515128
gzipfile,0.7348264859339607
fa05b7c,0.7342606415172284
cloud-init,0.7336533460374799
force,0.7314443686539257
*without*,0.7304803708736008
associated,0.7297556033405712
can,0.7292816859007019
byte,0.7287415277602537
length,0.7284806750975404
rejects,0.7282982555019568
insertfromselect,0.7277584872435604
glance/openstack/common/__init__.py,0.7251500356568242
dest,0.723540363611897
kat,0.7230645532451916
_get_min_sectors,0.7215275051498105
relaxes,0.7213254074384373
conf.bind_port,0.721073595546891
libvirtconfigcpufeature,0.7203482780361918
disk_write_bytes_sec,0.7200442793273367
resolution,0.7187031672551791
enclosing,0.7180288081855921
prevented,0.7179652316821457
hvs,0.7154843035098165
enabled,0.7147124177351006
digging,0.7136016888800096
compute_fill_first_cost_fn,0.7131096163105854
reraise,0.7128627582558973
've,0.7123556496203539
931608,0.7121469841325103
dns_domains,0.7105121392630562
hasattr,0.7095888852911745
'value,0.7095128211352907
tests/etc,0.7075331883517971
compute.api.api,0.7049016789511751
simplifies,0.7040264822348898
flaky,0.7035361232907764
qemu_img_info,0.7023670285763419
authentication,0.7020098976423774
serializing,0.7003659802614463
bridge,0.69928831086897
ole,0.698398736910798
undesirable,0.6982646312729439
010,0.6962440950859958
terminateinstances,0.6957720893380966
brought,0.6940616061909821
communicate,0.6917449412566258
x-cluster-client-ip,0.6914557964595124
default_max_cache_size,0.6910232099706638
_vdiskcopyops,0.6907143434836405
nova.virt.baremetal,0.6903061088814659
test_get_volume_stats,0.6895514501832822
callable,0.6895018994378156
natsume.takashi,0.689274750333144
1099399,0.6884407354304272
platform_version,0.6880259173874049
period_beginning,0.6879128440114324
discussions,0.6875054912149805
sanitize,0.6860910846028032
irrespective,0.6857726694567243
_drop_unique_constraint_in_sqlite,0.6856532054637071
update.py,0.6853247643578011
qpid-python,0.6845531988668023
getinfo,0.6843629052942325
'columns_to_join,0.6814989970052149
n403,0.6807191854203479
setup.py,0.6805927840331144
floatingipnotfoundforaddress,0.6805914579199375
query_string,0.6804605197717304
1.8,0.679988229498384
extra,0.6795262216613578
'get,0.6791913539823746
get_vnc_console,0.6790363814900752
percoco,0.6775429063036831
say,0.677500169071656
nfs,0.676740646860028
distribute,0.6766359560486297
cpython,0.6764454493622782
whitespace,0.6762608371711378
nobodycam,0.6760241571215582
top,0.6758433748718664
wsgi.input,0.6749449762618598
scalability,0.6747609310066283
