Unnamed: 0.1,Unnamed: 0,layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis,Mean,StdDev
0,0,gradients/classifier.out_proj.bias,0.12812645581089557,0.1983623934694943,8.638647294912719e-06,0.1690117827955024,0.23861563382404943,0.029594116681808207,0.05806334305638799,0.16109237659627026,-467.3583079948318,0.1958247562667889,0.0031784974436035
1,1,gradients/classifier.out_proj.weight,0.038095936672985546,0.35190197359632935,1.7252748038261e-05,0.2894734575307561,0.4121336146402009,0.00047052114509705753,0.06169813222453635,0.4845328924014519,-466.19007824868805,0.3688542189623514,0.0043100481944732
2,2,gradients/classifier.dense.bias,0.11973780686561228,0.38756807322943754,7.691752181170026e-05,0.3305692301494586,0.42949921795161505,0.05437970235684736,0.0,0.24968851822790006,-464.41872828656545,0.3529223322374318,0.0085177224603031
3,3,gradients/classifier.dense.weight,0.04649790217696095,0.21724289453554285,4.89071863801319e-05,0.17516113300648392,0.2524972909630624,0.006357228252370442,0.0741447204656011,0.35541025430078965,-451.99786263056444,0.2283120259886943,0.0070980792565805
4,4,gradients/encoder.roberta.encoder.layer.11.output.LayerNorm.weight,0.03623274767715786,0.10009577815299193,5.6865981342187455e-06,0.08232507730202752,0.11653683127830444,0.007262153786071078,0.010771333377619131,-3.274496522727762,-451.12081012041506,0.1066351315711424,0.0025692978610449
5,5,gradients/encoder.roberta.encoder.layer.11.output.LayerNorm.bias,0.012581141774765306,0.3872760071102572,1.81621821575729e-05,0.3463065425793953,0.4315892251342387,0.01253824057865361,0.0017682695572842412,0.38969665120123453,-464.3116460731785,0.3763750952409864,0.0040695971594523
6,6,gradients/encoder.roberta.encoder.layer.11.output.dense.bias,0.1800044561306212,0.134802818132623,5.5288816366141534e-05,0.11897397203263597,0.1508787688566522,0.07483869674694246,0.01853625157491754,0.5908996189203989,-463.32912273874985,0.1453894084962356,0.0069398564143076
7,7,gradients/encoder.roberta.encoder.layer.11.output.dense.weight,0.006660465350991653,0.39032601013296486,3.811593461168508e-06,0.33284836685865027,0.4386852827227523,0.002478418131425361,0.0007763334507935538,1.831501252597958,-353.6360099674203,0.4268888800804863,0.001837924910253
8,8,gradients/encoder.roberta.encoder.layer.11.intermediate.dense.bias,0.06889269177343559,0.4503681309406809,1.772207298352053e-05,0.38813002260917917,0.5097841037716628,0.015687406178099512,0.08279206997871869,0.8492589794555463,-438.7995577061103,0.4588863031813307,0.0041428861715139
9,9,gradients/encoder.roberta.encoder.layer.11.intermediate.dense.weight,0.2056105230420573,0.40917243338595705,3.97443923680792e-05,0.3628967756545019,0.4810214111940002,0.04042847105452656,0.0,-0.0013838161758994438,-386.73574171601297,0.3903822715480958,0.0067782848153885
