Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity,std
0,parameters/conv2d.bias,1.1674787175955716,0.009508658358061348,-0.18913601800639793,0.18270853163819822,-0.009942358615282034,0.0940009787609524,0.7095406081755243,-0.2354376831699299,0.007292245063181335,0.09751234977202289
1,parameters/conv2d_4.bias,0.8329710887309772,0.004241341866756721,-0.2825221146291496,0.07177690500650345,-0.03996788016254604,0.0649698545537963,1.074289627123389,-0.06964270431357064,0.0030516851610897346,0.06512558534674921
2,parameters/conv2d_8.bias,1.0701050577202913,0.006287324125526662,-0.2788937068728775,0.09465128347525112,-0.07320679221002396,0.0799971838020091,1.542336318695756,3.1010735194428585,0.0,0.07929264862221881
3,parameters/conv2d_1.bias,0.45889093727861047,0.001664413312201143,-0.14502739629198472,0.06933733749806772,-0.011253594479430189,0.0407820874321419,0.9980064397610907,-0.06943889745306756,0.0,0.04079722186866572
4,parameters/conv2d_2.bias,0.5800755907465417,0.0030667596723016233,-0.2670734029768295,0.10268999451598165,-0.02417406682357324,0.0533447512787921,1.8899104306625596,4.119242220227576,0.0,0.055378332155289936
5,parameters/conv2d_5.bias,0.4193486430196914,0.0008630473445581563,-0.11568021426228857,0.08334368531621515,0.005218907413976943,0.0311073940537198,1.3134893370089469,0.6858648974481115,0.0,0.029377667445836343
6,parameters/conv2d_6.bias,0.28437993550163254,0.0010111228672775349,-0.1341058565812935,0.08730124884603123,-0.0012088791000233478,0.0315077205560388,1.9065913842618916,1.958261456940029,0.0,0.03179815823719251
7,parameters/conv2d_3.bias,0.5166395428923443,0.003672588479992115,-0.22345492758435367,0.055276995080862104,-0.027767420285710515,0.058482287166721,1.2444325249943282,1.5569185241463976,0.0,0.06060188511912902
8,parameters/conv2d_7.bias,0.29059851478489535,0.0009082109806925896,-0.13135333212956085,0.08856003477570086,-0.002477119415430972,0.0291372280086127,1.6758517699474795,1.9784374984248863,0.0,0.030136538963401
9,parameters/conv2d_9.bias,0.4822004149873545,0.002194394656168207,-0.21595675795468974,0.06727799541816344,-0.014163237027299158,0.0501008673163845,1.0165218285635385,-0.08252649056817574,0.006704292142978608,0.04684436632262414
10,parameters/conv2d_10.bias,0.2994947288696212,0.0018483593263197995,-0.16411718383150073,0.06830464567932357,-0.006568386672517306,0.0406105019834624,1.375322587844013,0.6314435933229708,0.0,0.0429925496606074
11,parameters/conv2d_11.bias,0.41094459544538925,0.001907549501893353,-0.1972366214630706,0.06941071388997502,-0.011281848127775065,0.042220820120531,2.0757147779984058,4.085970094557394,0.0919015214722029,0.043675502308426234
12,parameters/dense.bias,0.3637754542470452,0.000830538852405091,-0.12596643925850107,0.08220198356487983,0.00454084351055922,0.0294783448905195,1.012411379895081,0.35885376449005146,0.0,0.028819070984420898
13,parameters/dense_1.bias,1.255056768518711,0.008322515377958828,-0.2247687128843003,0.13683525282836106,-0.0018943939932632699,0.0875716299649864,1.1600400939326068,0.17826450106925484,0.0,0.09122782129350022
14,parameters/dense_2.bias,7.332330625302122,0.0,-0.40776187379869216,-0.40776187379869216,-0.40776187379869216,0.0,7.682333254550212,58.90828050800706,0.0607269543163123,0.0
