Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity,mean,std
0,parameters/classifier.dense.weight,2.1363748444017074e-09,1.8418801895972285e-18,1.0050992911351366e-09,5.3592872815415035e-09,1.831291045712778e-06,0.020884424568294,-2.4361198382990863,1.6178597497885172,0.0,1.088666072386644e-09,1.3571588667496623e-09
1,parameters/classifier.out_proj.weight,9.886584591108451e-08,1.2483484669653029e-17,8.935368888387549e-08,9.910101222293359e-08,-4.371185445960871e-05,0.0187137944230178,-1.3702729182716347,2.6508644161795814,0.010055592334735727,9.170475748095035e-08,3.533197513535441e-09
2,parameters/encoder.roberta.embeddings.word_embeddings.weight,5.991065178595545e-07,2.3258252642261086e-14,1.1601460272469592e-07,6.881563245272892e-07,-0.0113615072623671,0.1283658394965572,1.6431919909048214,4.166330601393381,0.05655725442062472,3.759828332679049e-07,1.5250656589885264e-07
3,parameters/encoder.roberta.embeddings.position_embeddings.weight,3.493942450298508e-08,4.3478904146211073e-16,9.99847606310488e-09,7.635049985711088e-08,0.0003445132038981,0.0755137771931206,2.836134450504391,10.41824426651721,0.0,4.158324230935951e-08,2.085159565745775e-08
4,parameters/encoder.roberta.embeddings.token_type_embeddings.weight,3.6004585556299666e-06,7.384642910582819e-12,9.699844808023338e-07,9.309922859731092e-06,-0.0002076929983255,0.0251005607441857,4.041193464310681,21.090624975572883,0.0,7.532710232341869e-06,2.7174699465831854e-06
5,parameters/encoder.roberta.embeddings.LayerNorm.weight,1.199022389183562e-08,8.676078225598476e-19,1.0340000661830059e-08,1.3915956925149439e-08,0.3357254763638286,0.0639204642931742,0.2940681101062147,-0.14992454847115583,0.0,1.3564662105630087e-08,9.314546808942706e-10
6,parameters/encoder.roberta.encoder.layer.0.attention.self.query.weight,4.406736294335767e-06,2.327188633700792e-12,1.1403378616102556e-06,7.441163262554322e-06,8.546326140564047e-05,0.1016103293044025,1.1131005109134213,1.5362426255901565,0.0,1.5603007317998053e-06,1.525512580643238e-06
7,parameters/encoder.roberta.encoder.layer.0.attention.self.key.weight,1.2782585362438816e-07,9.798796885319422e-17,1.0075647258124012e-07,1.3854580278356397e-07,0.000112793106243,0.1006120468130983,1.2936391099161981,2.334712391892941,0.044296750625108586,1.0396070607411573e-07,9.89888725328227e-09
8,parameters/encoder.roberta.encoder.layer.0.attention.self.value.weight,3.1592593388684654e-09,3.176445828996877e-18,1.06434106161099e-09,8.1289849338932e-09,3.158816936226893e-05,0.0397860407903909,1.6122587920767142,3.208595415965977,0.014077577989222136,3.5599364600601567e-09,1.7822586313430701e-09
9,parameters/encoder.roberta.encoder.layer.0.attention.output.dense.weight,1.7479452694102472e-07,2.1617774354155682e-15,8.5907464434257e-08,2.2052308823022178e-07,3.304292350580742e-06,0.0403816936415788,3.3802690096406867,12.481855415312328,0.0,9.915305619923522e-08,4.649491838271758e-08
10,parameters/encoder.roberta.encoder.layer.0.attention.output.LayerNorm.weight,8.398044395214765e-09,5.368994725001247e-18,1.090583862323129e-09,1.0590376677228555e-08,0.6156525901945613,0.0974861908782125,1.7264091419730296,3.3307841877531708,0.08780205544035659,3.897248036604458e-09,2.317109131008129e-09
11,parameters/encoder.roberta.encoder.layer.0.intermediate.dense.weight,4.2791711666448296e-08,2.791987604142361e-16,9.375747787091295e-09,6.127160605419696e-08,-0.0113346586189311,0.0607580357729595,2.530799828260675,9.058056520557269,0.04495414626216756,4.957603267598217e-08,1.670924176658642e-08
12,parameters/encoder.roberta.encoder.layer.0.output.dense.weight,2.40031441485016e-05,5.428528990461198e-11,9.281248611013915e-06,3.3741035703659777e-05,-0.000112760096662,0.0509716953262455,4.3472507522963895,23.47242835240384,0.045141048452046285,3.325111422424144e-05,7.367855176685543e-06
13,parameters/encoder.roberta.encoder.layer.0.output.LayerNorm.weight,1.7249849455178953e-06,1.0142381383529147e-13,8.333453445778833e-07,1.7940772896284023e-06,0.5109690259462994,0.1123735305669006,0.05808448954199141,-0.015134374547234486,0.0,1.158329743559366e-06,3.1847105651109247e-07
14,parameters/encoder.roberta.encoder.layer.1.attention.self.query.weight,2.0979026844189544e-07,2.7749261912325512e-14,9.012496732806972e-08,5.87295405945668e-07,0.0001951886705329,0.0759863889472458,1.451206656626959,2.1002365311657036,0.009545763900506559,5.589943952292649e-07,1.6658109710385962e-07
15,parameters/encoder.roberta.encoder.layer.1.attention.self.key.weight,2.95316270363425e-06,6.412073826402925e-13,9.181452917408265e-07,3.280681043490871e-06,-3.776269572425157e-05,0.0745593718141202,1.7136349904432302,4.204625879160545,0.03831894277154463,2.8458491065851964e-06,8.007542585839256e-07
