layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity,mean,std
fc2.bias,4.4636592489712105e-07,1.2063416802355898e-14,1.067037483970847e-07,4.925454849037981e-07,-3.1558510518864194e-05,0.0200467691820429,0.7486556274947742,-0.15130344268459595,0.0,4.901719365945436e-07,1.0983358685919301e-07
fc1.bias,4.274547091333748e-08,2.120402844203139e-16,1.0922325065467667e-08,6.574561889511834e-08,0.7224649448495858,0.1133428719451089,0.7919516569218598,1.0453337050317062,0.0,2.996119621652825e-08,1.4561603085523035e-08
convs_code_file.2.bias,8.966341148544673e-05,5.183275666215598e-10,1.1158038997420914e-05,9.735472812294717e-05,0.8051789876384037,0.1374376907114736,0.07961175082345749,-0.6037204283396314,0.0,3.6346282965356496e-05,2.2766808441710933e-05
convs_code_file.1.bias,5.1832076779558324e-08,4.0497828019412865e-16,9.738593981512705e-09,8.334503534247742e-08,-0.0001044009550747,0.0706972257171937,1.6038116663129591,3.8428079182168347,0.0,3.7991171650378305e-08,2.0124072157347496e-08
convs_code_file.0.bias,4.835666360412511e-09,4.050286270933015e-18,9.677204504227571e-10,7.935925794220254e-09,0.563354952842928,0.1337718840011416,0.17020566691842853,-0.8530627020779993,0.018682679692833718,2.389482649968963e-09,2.012532303078143e-09
convs_code_line.2.bias,4.4477528091561574e-07,6.207765465642107e-14,9.433780147275594e-08,9.23680560698808e-07,1.953889443484899e-05,0.039087298509953,2.4737432248638727,8.700746779036637,0.0,1.8616312384514819e-07,2.4915387746615766e-07
convs_code_line.1.bias,1.2899714100592578e-06,5.893683031245496e-13,9.905079032840265e-07,3.5690009968865304e-06,6.742295416513179e-06,0.0432375307227778,2.3901009083737534,5.538212097916286,0.10737054520776099,3.3113661743597807e-06,7.677032650214206e-07
convs_code_line.0.bias,2.3790494462208235e-07,1.0442074746960531e-14,8.840251988130809e-08,4.0278306972432024e-07,0.0005278906998377,0.0197473282303864,0.4871738602375432,-0.20998475831197766,0.0,1.0080782952809746e-07,1.0218647046923841e-07
convs_msg.2.bias,2.143997777698305e-08,2.1114954345361537e-16,9.847841313074398e-09,5.777025647905567e-08,-0.0006588076272084,0.0546666985913124,4.920456004807464,29.957909214357162,0.0,1.4474006271608354e-08,1.4530985632558292e-08
convs_msg.1.bias,2.257409035683301e-07,1.853450436369215e-14,1.1394619775495718e-07,6.396817366919215e-07,6.062533815187235e-07,0.0751172360038982,1.54886277597624,2.314094706789866,0.0,2.744588709113225e-07,1.3614148656339906e-07
convs_msg.0.bias,1.134536214531605e-08,1.0771061749429e-18,9.783891706238201e-09,1.316752483845976e-08,0.3357254763638286,0.0639204642931742,0.76603023888971,-0.20722307221048078,0.0,1.2835123460205734e-08,1.037837258409477e-09
