Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity,mean,std
0,parameters/classifier.dense.weight,1.9731891007023078e-09,1.6711552214751865e-18,9.283253692995427e-10,4.949921255242874e-09,1.831291045712778e-06,0.020884424568294,-2.1908299123307233,2.161778810450905,0.0,1.0055089508130324e-09,1.2927316896692775e-09
1,parameters/classifier.out_proj.weight,1.139020439151102e-07,1.1925051195761507e-17,1.0294321260732978e-07,1.1417297593751637e-07,-4.371185445960871e-05,0.0187137944230178,-1.4299685520837093,2.4144208998409704,0.0,1.0565184789106868e-07,3.453266742631027e-09
2,parameters/encoder.roberta.embeddings.word_embeddings.weight,4.6474202729818616e-07,1.829440106182987e-14,8.999545165874543e-08,5.338202069666909e-07,-0.0113615072623671,0.1283658394965572,1.3408650454210875,3.7459756650505707,0.0,2.9165936098729653e-07,1.3525679673062598e-07
3,parameters/encoder.roberta.embeddings.position_embeddings.weight,3.157813526533868e-08,3.431670910557745e-16,9.036589298744805e-09,6.900532697263182e-08,0.0003445132038981,0.0755137771931206,2.830673841030688,10.832390208979414,0.0,3.758279562687478e-08,1.8524769662691477e-08
4,parameters/encoder.roberta.embeddings.token_type_embeddings.weight,4.169002923265806e-06,5.4455659856279266e-12,1.1231536409894449e-06,1.0780042324583019e-05,-0.0002076929983255,0.0251005607441857,4.40362562946134,20.75681740800036,0.0,8.722192046799664e-06,2.333573651211362e-06
5,parameters/encoder.roberta.embeddings.LayerNorm.weight,1.2241447225179772e-08,1.019646681024894e-18,1.0556647945190166e-08,1.4207528885518765e-08,0.3357254763638286,0.0639204642931742,0.26839045347458573,-0.4320507035092422,0.08674416521793064,1.3848873614990132e-08,1.0097755597284447e-09
6,parameters/encoder.roberta.encoder.layer.0.attention.self.query.weight,3.234794393726044e-06,2.5276632792016983e-12,8.370726713172682e-07,5.4622359035756905e-06,8.546326140564047e-05,0.1016103293044025,1.1960152539692233,1.852847100658939,0.0,1.1453492386735688e-06,1.5898626604841368e-06
7,parameters/encoder.roberta.encoder.layer.0.attention.self.key.weight,1.3331713114912455e-07,1.1714358106744737e-16,1.0508487515137182e-07,1.4449759916434552e-07,0.000112793106243,0.1006120468130983,1.4556430007955765,2.5018806811594594,0.0,1.0842675947828874e-07,1.0823288828606925e-08
8,parameters/encoder.roberta.encoder.layer.0.attention.self.value.weight,2.727347943926241e-09,3.8892999058673126e-18,9.188319459271407e-10,7.017648115460413e-09,3.158816936226893e-05,0.0397860407903909,1.6844231386395307,3.35836894007271,0.0,3.0732473480099328e-09,1.972130803437569e-09
9,parameters/encoder.roberta.encoder.layer.0.attention.output.dense.weight,2.0651956841755664e-07,2.4731083271007736e-15,1.0149958805515302e-07,2.605478203718475e-07,3.304292350580742e-06,0.0403816936415788,3.340287210966471,12.407084570727719,0.0,1.171492422097215e-07,4.973035619318219e-08
