layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity,mean,std
fc2.bias,3.640756416730899e-07,8.973934741816799e-15,8.703226097634212e-08,4.017417178761221e-07,-3.1558510518864194e-05,0.0200467691820429,0.5143077205565828,0.16521215754493063,0.03702683713792042,3.998057476876874e-07,9.473085422298693e-08
fc1.bias,3.644729032615586e-08,1.6901715526418526e-16,9.313013617392091e-09,5.605856265804986e-08,0.7224649448495858,0.1133428719451089,1.0556482665571019,0.9639660328719837,0.0,2.5546669476087108e-08,1.300065980110953e-08
convs_code_file.2.bias,8.58631011146299e-05,5.820689959959387e-10,1.0685114639342478e-05,9.322842758625897e-05,0.8051789876384037,0.1374376907114736,0.08170451917662583,-0.47210701028266444,0.06413730494144217,3.480577548515307e-05,2.412610610927381e-05
convs_code_file.1.bias,5.282715389609027e-08,4.759471190998996e-16,9.925556430642676e-09,8.494510122057387e-08,-0.0001044009550747,0.0706972257171937,1.7022314409141737,3.9408468320412373,0.0,3.872052976003518e-08,2.1816212299569778e-08
convs_code_file.0.bias,4.905533524498611e-09,4.8986382149735725e-18,9.817023669694959e-10,8.050586440409377e-09,0.563354952842928,0.1337718840011416,0.28714742274452054,-0.5517433368308703,0.06724316255242575,2.4240066150119173e-09,2.213286744860135e-09
convs_code_line.2.bias,4.804034448869889e-07,5.762719580320012e-14,1.0189461230237545e-07,9.976708292362148e-07,1.953889443484899e-05,0.039087298509953,2.6827268132026587,9.021939833698628,0.0,2.010754865288926e-07,2.4005665123716146e-07
convs_code_line.1.bias,1.3272488278641512e-06,5.814430890240138e-13,1.0191314655287675e-06,3.6721375007419984e-06,6.742295416513179e-06,0.0432375307227778,2.4601799509840063,5.44928866574217,0.09114196104020272,3.407057582265426e-06,7.62524156354416e-07
convs_code_line.0.bias,2.744189953304995e-07,1.0848098158777241e-14,1.0197068719630688e-07,4.646028921570508e-07,0.0005278906998377,0.0197473282303864,0.4336352219591913,-0.10564843071257453,0.03341714358718078,1.1627998461525469e-07,1.0415420374990751e-07
convs_msg.2.bias,2.2286954839494806e-08,2.5135160471260983e-16,1.0236876031029376e-08,6.00524455112528e-08,-0.0006588076272084,0.0546666985913124,4.853127184500491,29.92488004694703,0.0,1.5045795638286917e-08,1.5854072180755637e-08
convs_msg.1.bias,2.0231748617461297e-07,1.5517452312414772e-14,1.02122867076946e-07,5.733068259831171e-07,6.062533815187235e-07,0.0751172360038982,1.3346814277964834,2.4982435866813275,0.05007213497074901,2.4598036041923395e-07,1.2456906643470833e-07
convs_msg.0.bias,1.1685946763288969e-08,9.002076351507942e-19,1.0077601415666314e-08,1.3562810273980843e-08,0.3357254763638286,0.0639204642931742,0.520539975454285,-0.16557888679936783,0.0,1.3220430298748047e-08,9.487927250726546e-10
